cloze_sentence,answer,full_sentence,translation,verb_hint,verb_hint_en
Je ___ content,suis,Je suis content,I am happy,être,to be
Tu ___ gentil,es,Tu es gentil,You are kind,être,to be
Il ___ fatigué,est,Il est fatigué,He is tired,être,to be
Elle ___ ici,est,Elle est ici,She is here,être,to be
Nous ___ prêts,sommes,Nous sommes prêts,We are ready,être,to be
Vous ___ en retard,êtes,Vous êtes en retard,You (guys) are late,être,to be
Ils ___ à l’école,sont,Ils sont à l’école,They are at school,être,to be
Elles ___ heureuses,sont,Elles sont heureuses,They are happy,être,to be
J'___ un livre,ai,J'ai un livre,I have a book,avoir,to have
Tu ___ une idée,as,Tu as une idée,You have an idea,avoir,to have
Il ___ un frère,a,Il a un frère,He has a brother,avoir,to have
Elle ___ un chat,a,Elle a un chat,She has a cat,avoir,to have
Nous ___ une voiture,avons,Nous avons une voiture,We have a car,avoir,to have
Vous ___ des amis,avez,Vous avez des amis,You (guys) have friends,avoir,to have
Ils ___ une maison,ont,Ils ont une maison,They have a house,avoir,to have
Elles ___ un problème,ont,Elles ont un problème,They have a problem,avoir,to have
Tu ___ très agréable,es,Tu es très agréable,You are very pleasant,être,to be
Il ___ un manteau cher,a,Il a un manteau cher,He has an expensive coat,avoir,to have
Elle ___ une robe chère,a,Elle a une robe chère,She has an expensive dress,avoir,to have
Nous ___ jeunes et heureux,sommes,Nous sommes jeunes et heureux,We are young and happy,être,to be
Vous ___ un air frais,avez,Vous avez un air frais,You (guys) have a fresh look,avoir,to have
Ils ___ toujours agréables,sont,Ils sont toujours agréables,They are always pleasant,être,to be
Elles ___ des fleurs fraîches,ont,Elles ont des fleurs fraîches,They have fresh flowers,avoir,to have
Tu ___ très jeune,es,Tu es très jeune,You are very young,être,to be
Il ___ un chapeau vieux,a,Il a un chapeau vieux,He has an old hat,avoir,to have
Elle ___ une maison vieille,a,Elle a une maison vieille,She has an old house,avoir,to have
Nous ___ secs après la pluie,sommes,Nous sommes secs après la pluie,We are dry after the rain,être,to be
Elles ___ les mains sèches,ont,Elles ont les mains sèches,They have dry hands,avoir,to have
Il ___ un vieil ami,a,Il a un vieil ami,He has an old friend,avoir,to have
Je ___ une chanson,chante,Je chante une chanson,I sing a song,chanter,to sing
Tu ___ tes clés,cherches,Tu cherches tes clés,You look for your keys,chercher,to look for
Il ___ de l’aide,demande,Il demande de l’aide,He asks for help,demander,to ask
Elle ___ un cadeau à Marie,donne,Elle donne un cadeau à Marie,She gives a gift to Marie,donner,to give
Nous ___ la musique,écoutons,Nous écoutons la musique,We listen to the music,écouter,to listen
Vous ___ au tennis le samedi,jouez,Vous jouez au tennis le samedi,You play tennis on Saturdays,jouer,to play
Ils ___ un film ce soir,regardent,Ils regardent un film ce soir,They watch a movie tonight,regarder,to watch
Elles ___ à la maison aujourd’hui,restent,Elles restent à la maison aujourd’hui,They stay home today,rester,to stay
Je ___ une solution,trouve,Je trouve une solution,I find a solution,trouver,to find
Tu ___ le gâteau,coupes,Tu coupes le gâteau,You cut the cake,couper,to cut
Il ___ son manteau,garde,Il garde son manteau,He keeps his coat,garder,to keep
Elle ___ une robe rouge,porte,Elle porte une robe rouge,She wears a red dress,porter,to wear
Nous ___ la réunion de demain,annulons,Nous annulons la réunion de demain,We cancel tomorrow's meeting,annuler,to cancel
Vous ___ la porte,ouvrez,Vous ouvrez la porte,You open the door,ouvrir,to open
Ils ___ une lettre,écrivent,Ils écrivent une lettre,They write a letter,écrire,to write
Nous ___ au café avec nos amis,bavardons,Nous bavardons au café avec nos amis,We chat at the café with our friends,bavarder,to chat
Tu ___ les légumes pour le dîner,coupes,Tu coupes les légumes pour le dîner,You cut the vegetables for dinner,couper,to cut
Il ___ la porte ouverte,garde,Il garde la porte ouverte,He keeps the door open,garder,to keep
Elle ___ toujours ses clés,oublie,Elle oublie toujours ses clés,She always forgets her keys,oublier,to forget
Je ___ un manteau noir en hiver,porte,Je porte un manteau noir en hiver,I wear a black coat in winter,porter,to wear
Les enfants ___ dans le jardin,saute,Les enfants sautent dans le jardin,The children jump in the garden,sauter,to jump
Nous ___ la chaleur de l’été,aimons,Nous aimons la chaleur de l’été,We like the heat of summer,aimer,to like
Ils ___ boire de l’eau après le sport,aiment,Ils aiment boire de l’eau après le sport,They like to drink water after sports,aimer,to like
Tu ___ cette chose maintenant,regardes,Tu regardes cette chose maintenant,You look at this thing now,regarder,to look at
Je ___ à quelqu’un à la porte,parle,Je parle à quelqu’un à la porte,I speak to someone at the door,parler,to speak
Nous ___ chaque jour pour apprendre,étudions,Nous étudions chaque jour pour apprendre,We study each day to learn,étudier,to study
Vous ___ bien quand j’explique,écoutez,Vous écoutez bien quand j’explique,You listen well when I explain,écouter,to listen
Ils ___ encore une fois,essayent,Ils essayent encore une fois,They try again,essayer,to try
Les enfants ___ dans la boue,jouent,Les enfants jouent dans la boue,The children play in the mud,jouer,to play
Il ___ dans une flaque et rit,sauter,Il saute dans une flaque et rit,He jumps in a puddle and laughs,sauter,to jump
Tu ___ tes pensées dans un carnet,notes,Tu notes tes pensées dans un carnet,You write down your thoughts in a notebook,noter,to write down
Nous ___ quelqu’un après le cours,cherchons,Nous cherchons quelqu’un après le cours,We look for someone after class,chercher,to look for
